assumption_id,stage,topic,parameter,base_value,unit,applies_to,evidence_class,uncertainty,status,source_or_rationale,required_FEED_action
A-001,Boundary,Scope,Included stages,Capture; purification; pipeline transport to Dunkerque,-,All scenarios,Client requirement,none,fixed,Explicitly limited by client instruction,Maintain battery-limit definition in all contracts
A-002,Boundary,Scope,Excluded stages,Liquefaction; buffer storage; ship loading; shipping; injection; geological storage,-,All scenarios,Client requirement,none,fixed,Excluded from technical and economic totals,Define separate downstream workstream if later required
A-003,Data,Emissions,IREP 2024 total CO2,"7,539,800",t/y,Five-source cluster,Official reported data,reported-value risk,verified,INERIS IREP dataset via Géorisques,Reconcile against operator EU ETS verified emissions
A-004,Data,Emissions,Original client inventory,"10,915,501",t/y,Five-source cluster,Client-supplied,material discrepancy,scenario-only,Original table retained for comparison,Confirm pollutant scope year and facility mapping
A-005,Capture,Flow,Capturable fraction,0.35-0.98,fraction,Source-specific,Engineering screening,±10-30 percentage points,replace at FEED,Represents connectable stacks rather than separator performance,Complete stack-by-stack source study
A-006,Capture,Performance,Capture rate,0.85-0.95,fraction,Source-specific,Project or technology screening,±5-10 percentage points,mixed maturity,CalCC public 95 percent; other sites mapped by process type,Obtain vendor performance guarantees
A-007,Capture,Operations,Availability,0.85-0.95,fraction,Source-specific,Engineering screening,±3-8 percentage points,replace at FEED,Annualizes nameplate capture performance,Align with plant turnaround and operating data
A-008,Capture,Technology,Cryocap FG,Cryogenic separation,-,S1 Réty,Project-specific,±20% cost class,project-backed,Lhoist and EU Innovation Fund project disclosures,Obtain FEED heat and mass balance
A-009,Capture,Technology,Oxyfuel plus Cryocap Oxy,Airtight kiln and cryogenic purification,-,S3 Lumbres,Project plus screening,±30% cost class,project-backed concept,EU Innovation Fund K6 factsheet,Obtain approved K6 design basis and phase scope
A-010,Capture,Technology,Post-combustion amine,MEA-type screening,-,S2,Conceptual screening,±40% cost class,conceptual,Selected as established reference pathway,Perform solvent and heat-integration study
A-011,Capture,Technology,Low-concentration pot-gas amine,Dilute flue-gas capture,-,S4 Aluminium,Low-maturity screening,±50% cost class,conceptual,Conservative representation of difficult dilute source,Characterize pot-gas flow and concentration
A-012,Capture,Technology,DMX,Selected blast-furnace-gas application,-,S5 Steel,Pilot plus screening,±40% cost class,pilot-derived,INCITE 3D DMX pilot evidence,Define industrial source coverage and scale-up configuration
A-013,Capture,Energy,Electricity intensity,0.03-0.28,MWh/t captured,Source-specific,Project or engineering screening,within maturity range,replace at FEED,Separated from integrated reference utility basis,Obtain vendor utility guarantees
A-014,Capture,Energy,Steam intensity,0-5,GJ/t captured,Source-specific,Project or engineering screening,within maturity range,replace at FEED,Cryogenic cases electrically driven; amine cases steam-driven,Complete site steam and heat integration
A-015,Capture,Cost,CAPEX scale exponent,0.67,-,All sources,Standard screening practice,±0.10,screening,Economy-of-scale correlation only,Replace with equipment and installation estimate
A-016,Purification,Mass balance,Recovery,0.995,fraction,All sources,Engineering screening,±0.003,replace at FEED,Covers vent and polishing losses,Obtain vendor stream table
A-017,Purification,Quality,Pipeline product pressure,110,bar,All sources,Network design assumption,±10 bar,screening,Provides 25 bar pressure window to sink,Confirm battery-limit pressure and temperature
A-018,Purification,Quality,Screened components,6 of 27,components,All sources,Available modeled data,coverage limitation,transparent gap,Only CO2 H2O O2 NOx SOx and CO are modeled,Complete full compositional assay
A-019,Purification,Quality,Receiving benchmark,Northern Lights June 2025 liquid CO2 cargo,-,All sources,Public external benchmark,contractual mismatch risk,benchmark only,Used because no binding Dunkerque pipeline specification was provided,Replace with executed receiver specification
A-020,Purification,Energy,Electricity intensity,0.09-0.18,MWh/t product,Source-specific,Engineering screening,within maturity range,replace at FEED,Includes dehydration polishing and compression block,Obtain vendor compressor and dryer duties
A-021,Purification,Cost,Reference CAPEX split,Capture and purification split preserves combined reference,-,All sources,Analytical allocation,±20-50% by source,transparent assumption,Public projects generally disclose integrated CAPEX only,Replace with battery-limit vendor pricing
A-022,Transport,Geometry,Coordinate system,EPSG:2154,-,All sources and sink,Official spatial reference,coordinate QA,verified,Lambert-93 metric coordinates,Survey tie-in coordinates
A-023,Transport,Routing,Route uplift,1.10-1.35,factor,Source-specific,Engineering screening,±10-25%,screening,Straight-line distance uplift for corridor constraints,Complete GIS routing and field survey
A-024,Transport,Operations,Operating hours,8000,h/y,All scenarios,Engineering screening,±500 h/y,screening,Represents full-flow transport hours,Define nomination and turndown profile
A-025,Transport,Fluid property,CO2-mixture density and compressibility,Peng-Robinson EOS,-,All segments,Thermodynamic EOS,composition and kij sensitive,implemented,PR mixture EOS at configured pressure temperature and composition with classical kij=0 mixing,Calibrate composition and binary interaction parameters against validated property data
A-026,Transport,Fluid property,CO2 viscosity,0.00007,Pa s,All segments,Constant-property screening,composition and temperature sensitive,screening,Dense-phase representative value,Replace with validated composition-dependent viscosity correlation
A-027,Transport,Pipe,Absolute roughness,0.000045,m,All segments,Engineering reference,age and material sensitive,screening,Commercial carbon-steel basis,Confirm material and corrosion allowance
A-028,Transport,Hydraulics,Maximum velocity,2.5,m/s,All segments,Engineering screening,operability dependent,design gate,Conservative screening limit,Confirm erosion noise and transient criteria
A-029,Transport,Hydraulics,Minimum arrival pressure,85,bar,All paths,Network design assumption,receiver dependent,design gate,Maintains dense-phase pressure margin in steady-state screen,Confirm phase envelope and receiver requirement
A-030,Transport,Hydraulics,Pressure-drop method,Darcy-Weisbach with Swamee-Jain,-,All segments,Established engineering equation,steady-state limitation,implemented,PR density iterated at representative segment-mean pressure; steady-state isothermal screening,Perform compositional non-isothermal transient hydraulic simulation
A-031,Transport,Network,Topology method,Exact labelled-tree enumeration without free junctions,-,Five sources plus sink,Mathematical exact search,topology limitation,implemented,Least annualized-cost feasible tree among modeled nodes,Add Steiner nodes and corridor constraints at FEED
A-032,Transport,Cost,DN300 installed cost,1900000,EUR/km,All segments,Screening calibration,±35%,screening,Calibrated European early-stage allowance,Replace with local quantity-based estimate
A-033,Transport,Cost,Diameter cost exponent,1.20,-,All segments,Engineering screening,±0.15,screening,Scales installed cost with diameter,Replace with local cost curves
A-034,Transport,Cost,Source connection allowance,5000000,EUR/source,Active sources,Engineering screening,±50%,screening,Covers generic tie-in and metering allowance,Develop source-specific battery-limit estimate
A-035,Transport,Loss,Leakage rate,0.0002,fraction per 100 km,All segments,Conservative bookkeeping assumption,order-of-magnitude,screening,Used only for mass and net-avoided accounting,Replace with integrity and venting philosophy
A-036,Economics,Finance,Real discount rate,0.06,fraction,All stages,Client-adjustable screening,±3 percentage points,input,Consistent annualization basis,Confirm client hurdle rate and financing structure
A-037,Economics,Finance,Project life,25,years,All stages,Client-adjustable screening,±10 years,input,Used in capital recovery factor,Confirm contract and asset lives
A-038,Economics,Energy,Electricity price,70,EUR/MWh,All electric loads,Client-adjustable screening,scenario-sensitive,input,2026 real screening basis,Replace with site tariff and hedge case
A-039,Economics,Energy,Steam price,12,EUR/GJ,Amine capture loads,Client-adjustable screening,scenario-sensitive,input,2026 real screening basis,Replace with site marginal steam cost
A-040,Economics,Uncertainty,Source maturity range,±20% to ±50%,annual cost,Source-specific,Deterministic screening range,not probabilistic,implemented,Range follows evidence maturity,Develop class-4 or class-3 estimate and Monte Carlo model
A-041,Economics,Uncertainty,Transport range,±35%,annual cost,Pipeline,Deterministic screening range,not probabilistic,implemented,Early corridor and cost uncertainty,Replace with surveyed route and quantity estimate
A-042,Environmental,Climate,Dense-pipeline use-phase factor,3.0,gCO2e/tkm at 2030,Pipeline transport,Prior project transport-LCA screening,scenario and electricity-mix sensitive,screening,Interpolated from the project transport-LCA trajectory,Replace with project-specific lifecycle inventory or EPD
A-043,Environmental,Climate,Pipeline construction factor,1.2,gCO2e/tkm,Pipeline transport,Prior project transport-LCA screening,route material and lifetime sensitive,screening,Lifetime-normalized construction burden retained from prior transport-LCA module,Build quantity-based steel coating earthworks and crossing inventory
A-044,Environmental,Scope,Non-climate local impacts,Qualitative only,-,All scenarios,Boundary limitation,not quantified,explicit gap,No routed corridor or site-specific biodiversity land water noise or local-air inventory available,Complete routed environmental baseline EIA and project-specific LCA
